Year LowerMiddle37p5 Middle50 UppMiddle82p5 Upper95 HigherUpperTop10
1989 12,793,810 5,709,095 1,269,407 388,813 211,663
1992 12,752,332 6,050,302 1,471,128 450,150 240,038
1995 16,242,938 7,958,478 2,074,782 672,171 317,813
1998 21,924,482 10,041,841 2,315,634 799,733 370,283
2001 23,170,732 10,952,271 2,201,877 721,446 343,523
2004 22,935,780 10,741,139 1,961,169 699,545 320,644
2007 28,406,198 12,726,446 2,691,192 811,670 387,407
2010 42,414,861 17,792,208 2,854,642 735,057 372,093
2013 63,775,510 24,570,025 3,959,769 1,068,604 504,741
2016 60,120,240 24,668,517 3,966,942 1,005,657 451,903
2019 51,388,889 24,302,135 4,532,231 1,139,163 518,358
