TERM NAME,Statistics,Mathematics & Statistics,Statistics,BSDS,BADA,total,year,BSMA
Fall 1999,10,79,1,0,0,90,1999,NA
Fall 2000,5,66,1,0,0,72,2000,NA
Fall 2001,9,74,4,0,0,87,2001,NA
Fall 2002,13,101,4,0,0,118,2002,NA
Fall 2003,12,94,3,0,0,109,2003,NA
Fall 2004,11,94,3,0,0,108,2004,NA
Fall 2005,15,91,5,0,0,111,2005,NA
Fall 2006,12,104,4,0,0,120,2006,NA
Fall 2007,10,111,5,0,0,126,2007,NA
Fall 2008,12,114,10,0,0,136,2008,NA
Fall 2009,15,124,9,0,0,148,2009,NA
Fall 2010,17,117,16,0,0,150,2010,NA
Fall 2011,17,105,24,0,0,146,2011,NA
Fall 2012,23,87,31,0,0,141,2012,NA
Fall 2013,23,90,38,0,0,151,2013,NA
Fall 2014,21,73,58,0,0,152,2014,NA
Fall 2015,20,87,70,0,0,177,2015,NA
Fall 2016,22,129,94,0,0,245,2016,NA
Fall 2017,31,120,129,0,0,280,2017,NA
Fall 2018,32,138,122,0,0,292,2018,NA
Fall 2019,30,121,97,37,0,285,2019,7
Fall 2020,21,95,46,87,30,279,2020,6
Fall 2021,15,50,20,108,70,263,2021,6
